Sample,Time(S),CH1(V),CH2(V)
634,-0.000966,-0.0136624,0.979139
635,-0.000965,-0.0136624,0.971548
636,-0.000964,-0.0136624,0.960922
637,-0.000963,-0.0136624,0.951814
638,-0.000962,-0.0106263,0.945742
639,-0.000961,-0.00759022,0.936633
640,-0.00096,-0.00759022,0.927525
641,-0.000959,-0.0106263,0.916899
642,-0.000958,-0.0106263,0.90779
643,-0.000957,-0.0106263,0.901718
644,-0.000956,-0.0106263,0.89261
645,-0.000955,-0.00910827,0.883502
646,-0.000954,-0.00910827,0.875912
647,-0.000953,-0.0106263,0.866803
648,-0.000952,-0.00910827,0.857695
649,-0.000951,-0.00910827,0.851623
650,-0.00095,-0.00607218,0.840997
651,-0.000949,-0.00759022,0.831888
652,-0.000948,-0.00607218,0.82278
653,-0.000947,-0.00607218,0.81519
654,-0.000946,-0.00303609,0.809118
655,-0.000945,-0.00455413,0.796973
656,-0.000944,-0.00455413,0.789383
657,-0.000943,-0.00455413,0.778757
658,-0.000942,-0.00455413,0.772685
659,-0.000941,-0.00455413,0.763576
660,-0.00094,-0.00455413,0.754468
661,-0.000939,0,0.74536
662,-0.000938,0,0.73777
663,-0.000937,0.00151804,0.727143
664,-0.000936,0,0.718035
665,-0.000935,0.00303609,0.708927
666,-0.000934,0.00455413,0.699818
667,-0.000933,0.00455413,0.69071
668,-0.000932,0.00607218,0.681602
669,-0.000931,0.00607218,0.672494
670,-0.00093,0.00607218,0.661867
671,-0.000929,0.00607218,0.654277
672,-0.000928,0.00455413,0.645169
673,-0.000927,0.00759022,0.636061
674,-0.000926,0.00759022,0.626952
675,-0.000925,0.00910827,0.616326
676,-0.000924,0.00759022,0.607218
677,-0.000923,0.0106263,0.598109
678,-0.000922,0.0121444,0.589001
679,-0.000921,0.0121444,0.578375
680,-0.00092,0.0121444,0.567749
681,-0.000919,0.0121444,0.55864
682,-0.000918,0.0121444,0.546496
683,-0.000917,0.0121444,0.540424
684,-0.000916,0.0106263,0.531316
685,-0.000915,0.0136624,0.520689
686,-0.000914,0.0166985,0.513099
687,-0.000913,0.0166985,0.499437
688,-0.000912,0.0136624,0.490328
689,-0.000911,0.0166985,0.484256
690,-0.00091,0.0197346,0.472112
691,-0.000909,0.0197346,0.461485
692,-0.000908,0.0197346,0.450859
693,-0.000907,0.0197346,0.441751
694,-0.000906,0.0182165,0.431125
695,-0.000905,0.0182165,0.423534
696,-0.000904,0.0197346,0.41139
697,-0.000903,0.0197346,0.405318
